Delivery_person_Ratings,Delivery_person_Age,time_periods,Time_taken(min)
4.9,37,10:00-13:00,24
4.5,34,19:00-22:00,33
4.4,23,07:00-10:00,26
4.7,38,16:00-19:00,21
4.6,32,13:00-16:00,30
4.8,22,19:00-22:00,26
4.7,33,19:00-22:00,40
4.6,35,16:00-19:00,32
4.8,22,19:00-22:00,34
4.2,36,19:00-22:00,46
4.7,21,13:00-16:00,23
4.7,23,16:00-19:00,21
4.3,34,07:00-10:00,20
4.7,24,19:00-22:00,41
4.5,29,19:00-22:00,20
4.0,35,13:00-16:00,33
4.2,33,19:00-22:00,40
4.7,21,19:00-22:00,15
4.1,25,19:00-22:00,36
4.7,31,22:00-00:00,26
5.0,37,07:00-10:00,20
4.3,33,19:00-22:00,39
4.0,25,10:00-13:00,34
4.5,29,16:00-19:00,15
5.0,27,19:00-22:00,18
4.3,35,22:00-00:00,38
4.0,32,19:00-22:00,47
4.8,23,22:00-00:00,12
4.8,31,22:00-00:00,26
4.1,36,22:00-00:00,22
4.3,26,22:00-00:00,21
4.9,38,13:00-16:00,25
3.5,32,19:00-22:00,35
4.6,32,22:00-00:00,30
4.9,33,16:00-19:00,22
4.7,20,13:00-16:00,10
4.8,20,10:00-13:00,19
5.0,35,07:00-10:00,11
4.9,26,07:00-10:00,11
4.8,22,22:00-00:00,28
4.3,35,16:00-19:00,33
4.7,37,19:00-22:00,52
4.6,28,19:00-22:00,22
4.9,37,10:00-13:00,16
4.9,23,19:00-22:00,11
4.9,27,19:00-22:00,25
4.8,37,16:00-19:00,26
5.0,33,10:00-13:00,18
4.9,31,13:00-16:00,16
4.8,31,22:00-00:00,23
5.0,25,22:00-00:00,15
4.8,28,19:00-22:00,36
4.7,31,22:00-00:00,16
4.7,24,16:00-19:00,19
4.6,39,22:00-00:00,27
4.2,39,19:00-22:00,49
4.7,36,19:00-22:00,30
4.8,25,22:00-00:00,18
4.9,33,19:00-22:00,22
4.4,30,22:00-00:00,34
5.0,33,22:00-00:00,24
4.9,36,13:00-16:00,17
4.8,21,10:00-13:00,14
4.9,39,19:00-22:00,30
4.8,23,10:00-13:00,15
4.8,35,13:00-16:00,16
4.6,39,19:00-22:00,36
4.7,22,10:00-13:00,18
4.6,32,13:00-16:00,17
4.8,24,22:00-00:00,15
