,ID,Delivery_person_Ratings,Delivery_person_Age,time_periods,Time_taken(min),Age_Group,Time_Group
0,0x4607 ,4.9,37,10:00-13:00,24,30-40,20-30
1,0xb379 ,4.5,34,19:00-22:00,33,30-40,30-40
2,0x5d6d ,4.4,23,07:00-10:00,26,20-30,20-30
3,0x7a6a ,4.7,38,16:00-19:00,21,30-40,20-30
4,0x70a2 ,4.6,32,13:00-16:00,30,30-40,30-40
5,0x9bb4 ,4.8,22,19:00-22:00,26,20-30,20-30
6,0x95b4 ,4.7,33,19:00-22:00,40,30-40,40-54
7,0x9eb2 ,4.6,35,16:00-19:00,32,30-40,30-40
8,0x1102 ,4.8,22,19:00-22:00,34,20-30,30-40
9,0xcdcd ,4.2,36,19:00-22:00,46,30-40,40-54
10,0xd987 ,4.7,21,13:00-16:00,23,20-30,20-30
11,0x2784 ,4.7,23,16:00-19:00,21,20-30,20-30
12,0xc8b6 ,4.3,34,07:00-10:00,20,30-40,20-30
13,0xdb64 ,4.7,24,19:00-22:00,41,20-30,40-54
14,0x3af3 ,4.5,29,19:00-22:00,20,20-30,20-30
15,0x3aab ,4.0,35,13:00-16:00,33,30-40,30-40
16,0x689b ,4.2,33,19:00-22:00,40,30-40,40-54
18,0xc9cf ,4.7,21,19:00-22:00,15,20-30,10-20
19,0x36b8 ,4.1,25,19:00-22:00,36,20-30,30-40
20,0x5795 ,4.7,31,22:00-23:59,26,30-40,20-30
21,0x6c6b ,5.0,37,07:00-10:00,20,30-40,20-30
22,0xb816 ,4.3,33,19:00-22:00,39,30-40,30-40
23,0x539b ,4.0,25,10:00-13:00,34,20-30,30-40
24,0xa1b2 ,4.5,29,16:00-19:00,15,20-30,10-20
25,0x3231 ,5.0,27,19:00-22:00,18,20-30,10-20
26,0x8bc0 ,4.3,35,22:00-23:59,38,30-40,30-40
27,0x2288 ,4.0,32,19:00-22:00,47,30-40,40-54
28,0x3c5e ,4.8,23,22:00-23:59,12,20-30,10-20
29,0x3e60 ,4.8,31,22:00-23:59,26,30-40,20-30
30,0xbff ,4.1,36,22:00-23:59,22,30-40,20-30
31,0xd936 ,4.3,26,22:00-23:59,21,20-30,20-30
32,0xd681 ,4.9,38,13:00-16:00,25,30-40,20-30
33,0x2876 ,3.5,32,19:00-22:00,35,30-40,30-40
34,0x30c8 ,4.6,32,22:00-23:59,30,30-40,30-40
35,0xb843 ,4.9,33,16:00-19:00,22,30-40,20-30
36,0xb3a0 ,4.7,20,13:00-16:00,10,20-30,10-20
37,0x6531 ,4.8,20,10:00-13:00,19,20-30,10-20
38,0x4bda ,5.0,35,07:00-10:00,11,30-40,10-20
39,0x9d26 ,4.9,26,07:00-10:00,11,20-30,10-20
40,0x9b18 ,4.8,22,22:00-23:59,28,20-30,20-30
41,0x5d99 ,4.3,35,16:00-19:00,33,30-40,30-40
43,0xb796 ,4.7,37,19:00-22:00,52,30-40,40-54
44,0x85b4 ,4.6,28,19:00-22:00,22,20-30,20-30
45,0xc644 ,4.9,37,10:00-13:00,16,30-40,10-20
46,0x6999 ,4.9,23,19:00-22:00,11,20-30,10-20
47,0x63b6 ,4.9,27,19:00-22:00,25,20-30,20-30
48,0xa30b ,4.8,37,16:00-19:00,26,30-40,20-30
49,0x3556 ,5.0,33,10:00-13:00,18,30-40,10-20
50,0x5554 ,4.9,31,13:00-16:00,16,30-40,10-20
51,0x25fd ,4.8,31,22:00-23:59,23,30-40,20-30
52,0xc1ff ,5.0,25,22:00-23:59,15,20-30,10-20
53,0x7ac8 ,4.8,28,19:00-22:00,36,20-30,30-40
54,0x3da1 ,4.7,31,22:00-23:59,16,30-40,10-20
55,0x272d ,4.7,24,16:00-19:00,19,20-30,10-20
56,0xddc5 ,4.6,39,22:00-23:59,27,30-40,20-30
57,0x8e6c ,4.2,39,19:00-22:00,49,30-40,40-54
59,0x395b ,4.7,36,19:00-22:00,30,30-40,30-40
60,0x8aa2 ,4.8,25,22:00-23:59,18,20-30,10-20
61,0xb55a ,4.9,33,19:00-22:00,22,30-40,20-30
62,0x73cc ,4.4,30,22:00-23:59,34,30-40,30-40
63,0xbe80 ,5.0,33,22:00-23:59,24,30-40,20-30
64,0x1609 ,4.9,36,13:00-16:00,17,30-40,10-20
65,0xd255 ,4.8,21,10:00-13:00,14,20-30,10-20
66,0xde72 ,4.9,39,19:00-22:00,30,30-40,30-40
67,0x98aa ,4.8,23,10:00-13:00,15,20-30,10-20
