,Road_traffic_density,Order_Date,Time_taken(min),time_periods,Order_Date_period
3,Medium,2022-04-05,21,16:00-19:00,2022-04-20 - 2022-04-30
14,Jam,2022-04-02,20,19:00-22:00,2022-04-20 - 2022-04-30
25,Jam,2022-04-05,18,19:00-22:00,2022-04-20 - 2022-04-30
28,Low,2022-04-02,12,22:00-00:00,2022-04-20 - 2022-04-30
29,Low,2022-04-01,26,22:00-00:00,2022-04-10 - 2022-04-20
34,Low,2022-04-02,30,22:00-00:00,2022-04-20 - 2022-04-30
36,High,2022-04-03,10,13:00-16:00,2022-04-20 - 2022-04-30
38,Low,2022-04-01,11,07:00-10:00,2022-04-10 - 2022-04-20
43,Jam,2022-04-04,52,19:00-22:00,2022-04-20 - 2022-04-30
50,Medium,2022-04-03,16,13:00-16:00,2022-04-20 - 2022-04-30
53,Jam,2022-04-04,36,19:00-22:00,2022-04-20 - 2022-04-30
91,Low,2022-04-01,25,10:00-13:00,2022-04-10 - 2022-04-20
96,Low,2022-04-01,18,22:00-00:00,2022-04-10 - 2022-04-20
97,Low,2022-04-04,29,22:00-00:00,2022-04-20 - 2022-04-30
119,Jam,2022-04-03,25,19:00-22:00,2022-04-20 - 2022-04-30
130,Low,2022-04-03,11,10:00-13:00,2022-04-20 - 2022-04-30
152,Low,2022-04-03,19,10:00-13:00,2022-04-20 - 2022-04-30
154,High,2022-04-01,28,10:00-13:00,2022-04-10 - 2022-04-20
164,Low,2022-04-04,43,22:00-00:00,2022-04-20 - 2022-04-30
170,Low,2022-04-01,26,22:00-00:00,2022-04-10 - 2022-04-20
188,Jam,2022-04-04,54,19:00-22:00,2022-04-20 - 2022-04-30
192,Medium,2022-04-05,17,16:00-19:00,2022-04-20 - 2022-04-30
194,Jam,2022-04-06,27,19:00-22:00,2022-04-20 - 2022-04-30
221,Medium,2022-04-03,30,16:00-19:00,2022-04-20 - 2022-04-30
224,Medium,2022-04-02,30,19:00-22:00,2022-04-20 - 2022-04-30
233,Low,2022-04-04,20,22:00-00:00,2022-04-20 - 2022-04-30
241,Jam,2022-04-06,29,19:00-22:00,2022-04-20 - 2022-04-30
259,Jam,2022-04-06,33,19:00-22:00,2022-04-20 - 2022-04-30
261,Medium,2022-04-03,15,16:00-19:00,2022-04-20 - 2022-04-30
264,High,2022-04-05,18,13:00-16:00,2022-04-20 - 2022-04-30
265,Medium,2022-04-05,21,16:00-19:00,2022-04-20 - 2022-04-30
270,Jam,2022-04-04,15,19:00-22:00,2022-04-20 - 2022-04-30
288,Jam,2022-04-04,42,19:00-22:00,2022-04-20 - 2022-04-30
312,Medium,2022-04-03,28,16:00-19:00,2022-04-20 - 2022-04-30
319,Low,2022-04-05,26,22:00-00:00,2022-04-20 - 2022-04-30
320,Medium,2022-04-02,25,16:00-19:00,2022-04-20 - 2022-04-30
