Festival,Order_Date,Time_taken(min),time_periods,Road_traffic_density,Order_Date_period
No ,2022-03-19,24,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-25,33,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-19,26,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-04-05,21,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-26,30,13:00-16:00,High,2022-03-20 - 2022-03-31
No ,2022-03-11,26,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-04,40,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-14,32,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-20,34,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-12,46,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-13,23,13:00-16:00,High,2022-02-10 - 2022-02-20
No ,2022-03-04,21,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-13,20,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-02-14,41,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-04-02,20,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-01,33,13:00-16:00,High,2022-03-01 - 2022-03-10
No ,2022-03-16,40,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-15,15,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-16,36,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-10,26,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-11,20,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-27,39,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-26,34,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-27,15,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-05,18,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-12,38,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-16,47,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-02,12,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-04-01,26,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-05,22,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-11,21,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-02-11,25,13:00-16:00,High,2022-02-10 - 2022-02-20
No ,2022-03-08,35,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-02,30,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-08,22,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-04-03,10,13:00-16:00,High,2022-04-01 - 2022-04-10
No ,2022-03-30,19,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-04-01,11,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-28,11,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-18,28,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-14,33,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-04-04,52,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-08,22,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-13,16,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-24,11,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-19,25,19:00-22:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-09,26,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-19,18,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-04-03,16,13:00-16:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-25,23,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-02-13,15,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-04-04,36,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-26,16,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-10,19,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-14,27,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-02,49,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-13,30,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-29,18,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-30,22,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-12,34,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-31,24,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-17,17,13:00-16:00,Medium,2022-03-10 - 2022-03-20
No ,2022-02-15,14,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-02-15,30,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-07,15,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-28,16,13:00-16:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-16,36,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-17,18,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-15,17,13:00-16:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-25,15,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-09,17,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-05,10,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-11,27,19:00-22:00,Jam,2022-02-10 - 2022-02-20
