,Road_traffic_density,Order_Date,Time_taken(min),time_periods,Order_Date_period
9,Jam,2022-02-12,46,19:00-22:00,2022-02-10 - 2022-02-20
10,High,2022-02-13,23,13:00-16:00,2022-02-10 - 2022-02-20
12,Low,2022-02-13,20,07:00-10:00,2022-02-10 - 2022-02-20
13,Jam,2022-02-14,41,19:00-22:00,2022-02-10 - 2022-02-20
18,Jam,2022-02-15,15,19:00-22:00,2022-02-10 - 2022-02-20
31,Low,2022-02-11,21,22:00-00:00,2022-02-10 - 2022-02-20
32,High,2022-02-11,25,13:00-16:00,2022-02-10 - 2022-02-20
45,Low,2022-02-13,16,10:00-13:00,2022-02-10 - 2022-02-20
52,Low,2022-02-13,15,22:00-00:00,2022-02-10 - 2022-02-20
56,Low,2022-02-14,27,22:00-00:00,2022-02-10 - 2022-02-20
65,Low,2022-02-15,14,10:00-13:00,2022-02-10 - 2022-02-20
66,Jam,2022-02-15,30,19:00-22:00,2022-02-10 - 2022-02-20
76,Jam,2022-02-11,27,19:00-22:00,2022-02-10 - 2022-02-20
81,Low,2022-02-16,25,22:00-00:00,2022-02-10 - 2022-02-20
87,High,2022-02-15,19,10:00-13:00,2022-02-10 - 2022-02-20
88,Low,2022-02-18,42,22:00-00:00,2022-02-10 - 2022-02-20
92,Low,2022-02-16,15,22:00-00:00,2022-02-10 - 2022-02-20
111,Low,2022-02-11,15,10:00-13:00,2022-02-10 - 2022-02-20
124,Low,2022-02-15,18,22:00-00:00,2022-02-10 - 2022-02-20
157,Low,2022-02-13,28,22:00-00:00,2022-02-10 - 2022-02-20
167,Medium,2022-02-14,21,16:00-19:00,2022-02-10 - 2022-02-20
174,Medium,2022-02-16,38,16:00-19:00,2022-02-10 - 2022-02-20
191,Jam,2022-02-12,36,19:00-22:00,2022-02-10 - 2022-02-20
197,Jam,2022-02-17,29,19:00-22:00,2022-02-10 - 2022-02-20
203,Medium,2022-02-15,26,16:00-19:00,2022-02-10 - 2022-02-20
218,Jam,2022-02-15,29,19:00-22:00,2022-02-10 - 2022-02-20
220,Low,2022-02-13,14,10:00-13:00,2022-02-10 - 2022-02-20
222,High,2022-02-13,28,13:00-16:00,2022-02-10 - 2022-02-20
229,Medium,2022-02-11,25,16:00-19:00,2022-02-10 - 2022-02-20
234,Low,2022-02-11,15,10:00-13:00,2022-02-10 - 2022-02-20
235,Low,2022-02-18,16,22:00-00:00,2022-02-10 - 2022-02-20
238,Jam,2022-02-14,25,19:00-22:00,2022-02-10 - 2022-02-20
243,Medium,2022-02-11,11,16:00-19:00,2022-02-10 - 2022-02-20
246,Medium,2022-02-11,11,13:00-16:00,2022-02-10 - 2022-02-20
248,Low,2022-02-16,15,22:00-00:00,2022-02-10 - 2022-02-20
