,Road_traffic_density,Order_Date,Time_taken(min),time_periods,Order_Date_period
0,High,2022-03-19,24,10:00-13:00,2022-03-20 - 2022-03-31
1,Jam,2022-03-25,33,19:00-22:00,2022-04-01 - 2022-04-10
2,Low,2022-03-19,26,07:00-10:00,2022-03-20 - 2022-03-31
4,High,2022-03-26,30,13:00-16:00,2022-04-01 - 2022-04-10
5,Jam,2022-03-11,26,19:00-22:00,2022-03-20 - 2022-03-31
6,Jam,2022-03-04,40,19:00-22:00,2022-03-10 - 2022-03-20
7,Medium,2022-03-14,32,16:00-19:00,2022-03-20 - 2022-03-31
8,Jam,2022-03-20,34,19:00-22:00,2022-03-20 - 2022-03-31
11,Medium,2022-03-04,21,16:00-19:00,2022-03-10 - 2022-03-20
15,High,2022-03-01,33,13:00-16:00,2022-03-01 - 2022-03-10
16,Jam,2022-03-16,40,19:00-22:00,2022-03-20 - 2022-03-31
19,Jam,2022-03-16,36,19:00-22:00,2022-03-20 - 2022-03-31
20,Low,2022-03-10,26,22:00-00:00,2022-03-10 - 2022-03-20
21,Low,2022-03-11,20,07:00-10:00,2022-03-20 - 2022-03-31
22,Jam,2022-03-27,39,19:00-22:00,2022-04-01 - 2022-04-10
23,High,2022-03-26,34,10:00-13:00,2022-04-01 - 2022-04-10
24,Medium,2022-03-27,15,16:00-19:00,2022-04-01 - 2022-04-10
26,Low,2022-03-12,38,22:00-00:00,2022-03-20 - 2022-03-31
27,Jam,2022-03-16,47,19:00-22:00,2022-03-20 - 2022-03-31
30,Low,2022-03-05,22,22:00-00:00,2022-03-10 - 2022-03-20
33,Jam,2022-03-08,35,19:00-22:00,2022-03-10 - 2022-03-20
35,Medium,2022-03-08,22,16:00-19:00,2022-03-10 - 2022-03-20
37,Low,2022-03-30,19,10:00-13:00,2022-04-01 - 2022-04-10
39,Low,2022-03-28,11,07:00-10:00,2022-04-01 - 2022-04-10
40,Low,2022-03-18,28,22:00-00:00,2022-03-20 - 2022-03-31
41,Medium,2022-03-14,33,16:00-19:00,2022-03-20 - 2022-03-31
44,Jam,2022-03-08,22,19:00-22:00,2022-03-10 - 2022-03-20
46,Jam,2022-03-24,11,19:00-22:00,2022-04-01 - 2022-04-10
47,Medium,2022-03-19,25,19:00-22:00,2022-03-20 - 2022-03-31
48,Medium,2022-03-09,26,16:00-19:00,2022-03-10 - 2022-03-20
49,High,2022-03-19,18,10:00-13:00,2022-03-20 - 2022-03-31
51,Low,2022-03-25,23,22:00-00:00,2022-04-01 - 2022-04-10
54,Low,2022-03-26,16,22:00-00:00,2022-04-01 - 2022-04-10
55,Medium,2022-03-10,19,16:00-19:00,2022-03-10 - 2022-03-20
57,Jam,2022-03-02,49,19:00-22:00,2022-03-10 - 2022-03-20
59,Jam,2022-03-13,30,19:00-22:00,2022-03-20 - 2022-03-31
60,Low,2022-03-29,18,22:00-00:00,2022-04-01 - 2022-04-10
61,Jam,2022-03-30,22,19:00-22:00,2022-04-01 - 2022-04-10
62,Low,2022-03-12,34,22:00-00:00,2022-03-20 - 2022-03-31
63,Low,2022-03-31,24,22:00-00:00,2022-04-01 - 2022-04-10
64,Medium,2022-03-17,17,13:00-16:00,2022-03-20 - 2022-03-31
67,Low,2022-03-07,15,10:00-13:00,2022-03-10 - 2022-03-20
68,Medium,2022-03-28,16,13:00-16:00,2022-04-01 - 2022-04-10
69,Jam,2022-03-16,36,19:00-22:00,2022-03-20 - 2022-03-31
70,High,2022-03-17,18,10:00-13:00,2022-03-20 - 2022-03-31
71,Medium,2022-03-15,17,13:00-16:00,2022-03-20 - 2022-03-31
72,Low,2022-03-25,15,22:00-00:00,2022-04-01 - 2022-04-10
73,Low,2022-03-09,17,10:00-13:00,2022-03-10 - 2022-03-20
75,Low,2022-03-05,10,22:00-00:00,2022-03-10 - 2022-03-20
77,Jam,2022-03-12,37,19:00-22:00,2022-03-20 - 2022-03-31
78,Jam,2022-03-29,44,19:00-22:00,2022-04-01 - 2022-04-10
79,High,2022-03-19,28,10:00-13:00,2022-03-20 - 2022-03-31
80,Jam,2022-03-10,42,19:00-22:00,2022-03-10 - 2022-03-20
