Road_traffic_density,Time_taken(min),Type_of_vehicle,Time_Orderd,time_periods
High,24,motorcycle ,11:30:00,10:00-13:00
Jam,33,scooter ,19:45:00,19:00-22:00
Low,26,motorcycle ,08:30:00,07:00-10:00
Medium,21,motorcycle ,18:00:00,16:00-19:00
High,30,scooter ,13:30:00,13:00-16:00
Jam,26,motorcycle ,21:20:00,19:00-22:00
Jam,40,scooter ,19:15:00,19:00-22:00
Medium,32,motorcycle ,17:25:00,16:00-19:00
Jam,34,motorcycle ,20:55:00,19:00-22:00
Jam,46,motorcycle ,21:55:00,19:00-22:00
High,23,motorcycle ,14:55:00,13:00-16:00
Medium,21,scooter ,17:30:00,16:00-19:00
Low,20,motorcycle ,09:20:00,07:00-10:00
Jam,41,scooter ,19:50:00,19:00-22:00
Jam,20,electric_scooter ,20:25:00,19:00-22:00
High,33,scooter ,14:55:00,13:00-16:00
Jam,40,motorcycle ,20:30:00,19:00-22:00
Jam,15,motorcycle ,21:15:00,19:00-22:00
Jam,36,motorcycle ,20:20:00,19:00-22:00
Low,26,electric_scooter ,22:30:00,22:00-00:00
Low,20,motorcycle ,08:15:00,07:00-10:00
Jam,39,scooter ,19:30:00,19:00-22:00
High,34,motorcycle ,12:25:00,10:00-13:00
Medium,15,electric_scooter ,18:35:00,16:00-19:00
Jam,18,motorcycle ,20:35:00,19:00-22:00
Low,38,scooter ,23:20:00,22:00-00:00
Jam,47,motorcycle ,21:20:00,19:00-22:00
Low,12,electric_scooter ,23:35:00,22:00-00:00
Low,26,motorcycle ,22:35:00,22:00-00:00
Low,22,motorcycle ,22:35:00,22:00-00:00
Low,21,motorcycle ,23:25:00,22:00-00:00
High,25,scooter ,13:35:00,13:00-16:00
Jam,35,scooter ,21:35:00,19:00-22:00
Low,30,scooter ,22:35:00,22:00-00:00
Medium,22,motorcycle ,18:55:00,16:00-19:00
High,10,scooter ,14:15:00,13:00-16:00
Low,19,scooter ,11:00:00,10:00-13:00
Low,11,scooter ,09:45:00,07:00-10:00
Low,11,scooter ,08:40:00,07:00-10:00
Low,28,motorcycle ,23:00:00,22:00-00:00
Medium,33,motorcycle ,17:25:00,16:00-19:00
Jam,52,motorcycle ,19:45:00,19:00-22:00
Jam,22,scooter ,19:10:00,19:00-22:00
Low,16,scooter ,10:55:00,10:00-13:00
Jam,11,electric_scooter ,21:40:00,19:00-22:00
Medium,25,scooter ,19:00:00,19:00-22:00
Medium,26,motorcycle ,16:45:00,16:00-19:00
High,18,scooter ,11:30:00,10:00-13:00
Medium,16,motorcycle ,15:10:00,13:00-16:00
Low,23,scooter ,22:45:00,22:00-00:00
Low,15,motorcycle ,22:10:00,22:00-00:00
Jam,36,motorcycle ,20:45:00,19:00-22:00
Low,16,motorcycle ,22:50:00,22:00-00:00
Medium,19,motorcycle ,17:55:00,16:00-19:00
Low,27,motorcycle ,22:45:00,22:00-00:00
Jam,49,scooter ,20:35:00,19:00-22:00
Jam,30,motorcycle ,20:15:00,19:00-22:00
Low,18,scooter ,22:25:00,22:00-00:00
Jam,22,scooter ,21:55:00,19:00-22:00
Low,34,scooter ,22:40:00,22:00-00:00
Low,24,motorcycle ,23:50:00,22:00-00:00
